Student_ID,Name,Age,Gender,Interests,Strengths,Skills,Math,Physics,Chemistry,Biology,English,Computer_Science,History,Attendance_pct,Learning_Style,Average_Marks,Personality,Goals,Budget,Suggested_Career,Recommended_Course,Scholarship_Option
30,Student_00030,16,Other,Sports,Problem Solving,Java;Physics,74,69,66,43,53,93,66,75.6,Visual,66.29,Ambivert,Develop new skills,Medium,Software Engineer,Graphic Design,Arts Talent Scholarship
31,Student_00031,20,Female,Sports,Analysis,Marketing,67,71,41,64,61,82,83,91.9,Auditory,67.0,Extrovert,Higher studies,High,Research Scientist,Python Basics,Need-based Aid
32,Student_00032,14,Male,Medicine,Creativity,Drawing;Python,56,64,60,53,69,60,61,90.4,Reading/Writing,60.43,Extrovert,Develop new skills,Medium,Data Analyst,Biology 101,National Merit Scholarship
33,Student_00033,22,Male,Business,Creativity,Statistics;Machine Learning;Python,88,41,100,55,52,93,41,84.9,Auditory,67.14,Introvert,Develop new skills,High,Data Analyst,Business Management,STEM Scholarship
34,Student_00034,21,Other,Technology,Communication,Excel,78,87,85,47,89,92,50,98.6,Visual,75.43,Ambivert,Get a good job,Medium,Mechanical Engineer,Biology 101,STEM Scholarship
35,Student_00035,15,Other,Sports,Problem Solving,Marketing;Machine Learning;Excel,91,47,90,76,90,42,62,81.3,Kinesthetic,71.14,Introvert,Start a business,Low,Mechanical Engineer,Machine Learning Basics,Need-based Aid
36,Student_00036,15,Female,Business,Logical Thinking,UI Design;Drawing,67,51,86,73,81,57,79,92.3,Reading/Writing,70.57,Extrovert,Develop new skills,High,Teacher,Graphic Design,STEM Scholarship
37,Student_00037,15,Female,Design,Creativity,Excel;UI Design,82,64,61,41,71,94,60,67.3,Auditory,67.57,Extrovert,Start a business,Medium,Teacher,Business Management,Arts Talent Scholarship
38,Student_00038,22,Male,Sports,Problem Solving,UI Design,66,71,75,88,55,84,70,85.8,Reading/Writing,72.71,Extrovert,Get a good job,Low,Teacher,Data Science Intro,Need-based Aid
39,Student_00039,17,Female,Business,Analysis,SQL;Physics;Java,87,75,61,62,84,69,57,72.3,Auditory,70.71,Introvert,Higher studies,Medium,Data Analyst,Math Foundations,STEM Scholarship
40,Student_00040,17,Male,Design,Communication,Excel;SQL;UI Design,58,46,93,52,58,54,63,67.2,Visual,60.57,Ambivert,Higher studies,Medium,Software Engineer,Python Basics,Arts Talent Scholarship
41,Student_00041,16,Other,Design,Problem Solving,Excel,58,70,70,68,61,51,43,70.1,Reading/Writing,60.14,Introvert,Get a good job,Medium,Civil Engineer,Python Basics,National Merit Scholarship
42,Student_00042,16,Male,Technology,Problem Solving,Statistics,75,88,66,78,78,90,79,69.0,Reading/Writing,79.14,Extrovert,Develop new skills,Medium,Mechanical Engineer,Graphic Design,National Merit Scholarship
43,Student_00043,15,Male,Sports,Communication,Statistics;Drawing;Biology,51,75,44,50,40,66,68,87.6,Reading/Writing,56.29,Extrovert,Get a good job,Low,Teacher,Math Foundations,Arts Talent Scholarship
44,Student_00044,21,Male,Sports,Communication,Excel;Machine Learning;Biology,67,47,74,54,81,49,98,70.6,Auditory,67.14,Introvert,Get a good job,Low,Teacher,Business Management,Arts Talent Scholarship
45,Student_00045,21,Male,Design,Logical Thinking,UI Design;Java,100,57,72,74,71,68,45,83.9,Reading/Writing,69.57,Ambivert,Start a business,High,Teacher,Python Basics,National Merit Scholarship
46,Student_00046,17,Other,Science,Logical Thinking,Excel;Python,88,88,51,70,73,81,68,96.6,Auditory,74.14,Ambivert,Develop new skills,High,Civil Engineer,Python Basics,Need-based Aid
47,Student_00047,19,Female,Business,Communication,Statistics;Drawing;Physics,66,84,71,58,82,100,65,92.5,Visual,75.14,Extrovert,Get a good job,Medium,Teacher,Graphic Design,National Merit Scholarship
48,Student_00048,20,Other,Science,Logical Thinking,Public Speaking;Java;Python,52,73,63,79,88,71,80,77.7,Visual,72.29,Introvert,Start a business,High,Doctor,Graphic Design,Need-based Aid
49,Student_00049,21,Male,Science,Logical Thinking,Biology;Drawing;Marketing,75,40,75,66,45,54,93,96.5,Reading/Writing,64.0,Introvert,Higher studies,Medium,Teacher,Business Management,Arts Talent Scholarship
50,Student_00050,20,Female,Design,Creativity,SQL;Drawing,64,52,98,78,72,87,96,65.5,Visual,78.14,Extrovert,Develop new skills,Medium,Research Scientist,Graphic Design,National Merit Scholarship
51,Student_00051,18,Other,Technology,Leadership,Machine Learning;Public Speaking;Drawing,68,74,70,62,61,75,88,81.7,Reading/Writing,71.14,Extrovert,Higher studies,High,Designer,Business Management,Need-based Aid
52,Student_00052,17,Female,Science,Communication,Public Speaking;Java;Machine Learning,82,90,92,81,49,71,42,65.0,Kinesthetic,72.43,Introvert,Develop new skills,Low,Research Scientist,Biology 101,National Merit Scholarship
53,Student_00053,16,Female,Arts,Problem Solving,Marketing;Physics,79,84,65,81,45,94,61,94.1,Reading/Writing,72.71,Extrovert,Develop new skills,High,Software Engineer,Business Management,National Merit Scholarship
54,Student_00054,17,Other,Technology,Creativity,Statistics;Java;UI Design,88,80,85,95,46,68,50,87.8,Visual,73.14,Introvert,Start a business,Low,Teacher,Graphic Design,Arts Talent Scholarship
55,Student_00055,20,Male,Sports,Leadership,Excel;Machine Learning,90,51,50,51,45,79,95,75.3,Auditory,65.86,Extrovert,Higher studies,Low,Civil Engineer,Math Foundations,Arts Talent Scholarship
56,Student_00056,21,Female,Science,Analysis,Machine Learning;SQL,50,44,68,100,62,77,59,85.6,Reading/Writing,65.71,Ambivert,Start a business,Medium,Teacher,Data Science Intro,Need-based Aid
57,Student_00057,21,Male,Sports,Analysis,Physics;Excel;Marketing,84,58,41,93,82,65,57,60.3,Visual,68.57,Ambivert,Develop new skills,Medium,Designer,Business Management,Arts Talent Scholarship
58,Student_00058,17,Other,Sports,Leadership,Machine Learning;UI Design,83,93,48,80,46,97,80,85.9,Kinesthetic,75.29,Extrovert,Get a good job,High,Entrepreneur,Math Foundations,STEM Scholarship
59,Student_00059,15,Female,Business,Logical Thinking,Drawing;Biology,48,90,74,96,63,73,72,96.5,Auditory,73.71,Extrovert,Develop new skills,Medium,Entrepreneur,Machine Learning Basics,National Merit Scholarship
60,Student_00060,21,Male,Arts,Creativity,UI Design;Machine Learning;Java,94,91,75,63,45,90,65,60.6,Visual,74.71,Extrovert,Start a business,High,Teacher,Business Management,Need-based Aid
61,Student_00061,19,Male,Sports,Analysis,Excel,96,100,75,60,98,79,54,85.9,Reading/Writing,80.29,Ambivert,Start a business,High,Mechanical Engineer,Python Basics,STEM Scholarship
62,Student_00062,14,Male,Technology,Analysis,Statistics,55,96,74,48,64,69,63,86.8,Reading/Writing,67.0,Ambivert,Higher studies,Medium,Data Analyst,Machine Learning Basics,Need-based Aid
63,Student_00063,20,Female,Science,Logical Thinking,Biology;Public Speaking,68,100,55,94,63,46,83,74.7,Kinesthetic,72.71,Introvert,Develop new skills,Medium,Designer,Python Basics,Need-based Aid
64,Student_00064,15,Other,Sports,Logical Thinking,Excel;Python;Machine Learning,90,61,55,48,90,76,53,62.7,Auditory,67.57,Ambivert,Higher studies,Low,Entrepreneur,Machine Learning Basics,STEM Scholarship
65,Student_00065,14,Female,Arts,Creativity,Marketing;Drawing;Statistics,82,95,41,48,40,62,90,91.5,Kinesthetic,65.43,Introvert,Higher studies,Medium,Software Engineer,Data Science Intro,Need-based Aid
66,Student_00066,22,Male,Maths,Analysis,Physics;SQL,77,46,68,72,54,100,79,61.7,Kinesthetic,70.86,Extrovert,Get a good job,Low,Civil Engineer,Machine Learning Basics,Need-based Aid
67,Student_00067,20,Other,Maths,Analysis,Public Speaking;Statistics;Machine Learning,60,78,49,44,48,57,79,85.3,Kinesthetic,59.29,Extrovert,Start a business,Medium,Research Scientist,Business Management,Need-based Aid
68,Student_00068,15,Other,Maths,Logical Thinking,SQL;Biology;Java,68,96,54,66,61,92,69,75.9,Visual,72.29,Extrovert,Develop new skills,Medium,Teacher,Graphic Design,STEM Scholarship
69,Student_00069,21,Male,Maths,Problem Solving,Java,46,87,87,63,91,48,75,62.4,Kinesthetic,71.0,Ambivert,Get a good job,Medium,Entrepreneur,Machine Learning Basics,Need-based Aid
70,Student_00070,14,Female,Technology,Communication,Excel,72,53,49,82,70,54,94,64.3,Kinesthetic,67.71,Introvert,Start a business,High,Designer,Machine Learning Basics,Need-based Aid
71,Student_00071,22,Other,Science,Leadership,UI Design;Marketing;Python,51,57,84,88,59,98,61,74.0,Auditory,71.14,Introvert,Develop new skills,Low,Doctor,Math Foundations,National Merit Scholarship
72,Student_00072,15,Other,Sports,Analysis,Public Speaking;Physics,50,63,59,86,60,89,100,82.7,Visual,72.43,Introvert,Higher studies,Low,Software Engineer,Math Foundations,National Merit Scholarship
73,Student_00073,18,Female,Medicine,Analysis,Public Speaking;Java;Marketing,53,88,72,47,62,67,47,71.3,Reading/Writing,62.29,Ambivert,Start a business,Low,Designer,Biology 101,National Merit Scholarship
74,Student_00074,14,Male,Technology,Creativity,Marketing,58,60,47,40,71,87,67,67.0,Reading/Writing,61.43,Ambivert,Higher studies,High,Research Scientist,Machine Learning Basics,Arts Talent Scholarship
75,Student_00075,15,Female,Science,Analysis,Public Speaking,98,44,95,60,76,67,76,76.2,Reading/Writing,73.71,Extrovert,Get a good job,Medium,Software Engineer,Graphic Design,STEM Scholarship
76,Student_00076,21,Other,Business,Problem Solving,Statistics;Biology,67,77,65,73,45,65,95,72.4,Kinesthetic,69.57,Introvert,Start a business,Low,Data Analyst,Business Management,National Merit Scholarship
77,Student_00077,22,Other,Sports,Communication,UI Design;Machine Learning,92,49,55,46,49,56,52,66.9,Auditory,57.0,Ambivert,Get a good job,Low,Civil Engineer,Biology 101,Need-based Aid
78,Student_00078,19,Other,Business,Creativity,Statistics;Public Speaking,68,80,59,90,57,77,43,74.1,Visual,67.71,Extrovert,Develop new skills,Medium,Software Engineer,Python Basics,Arts Talent Scholarship
79,Student_00079,18,Male,Maths,Leadership,SQL;Java;Public Speaking,77,75,90,87,97,42,68,96.4,Auditory,76.57,Extrovert,Develop new skills,High,Doctor,Python Basics,Need-based Aid
80,Student_00080,15,Female,Maths,Leadership,Drawing;Python;Biology,85,68,68,73,73,79,50,74.6,Kinesthetic,70.86,Extrovert,Develop new skills,Medium,Software Engineer,Machine Learning Basics,Arts Talent Scholarship
81,Student_00081,15,Female,Maths,Leadership,Java;Marketing;Machine Learning,86,94,82,98,78,95,49,73.3,Auditory,83.14,Extrovert,Start a business,High,Mechanical Engineer,Data Science Intro,National Merit Scholarship
82,Student_00082,18,Other,Medicine,Logical Thinking,Drawing;Machine Learning,84,93,100,87,83,98,73,63.7,Reading/Writing,88.29,Ambivert,Start a business,Low,Entrepreneur,Graphic Design,STEM Scholarship
83,Student_00083,17,Female,Design,Creativity,Drawing,49,44,58,94,90,46,72,90.8,Visual,64.71,Ambivert,Start a business,High,Doctor,Business Management,Need-based Aid
84,Student_00084,16,Male,Arts,Logical Thinking,Drawing;Public Speaking;Python,66,63,83,86,55,68,79,71.4,Reading/Writing,71.43,Introvert,Higher studies,Medium,Civil Engineer,Machine Learning Basics,STEM Scholarship
85,Student_00085,19,Other,Design,Analysis,Java;SQL,73,66,50,92,52,91,78,65.5,Kinesthetic,71.71,Introvert,Develop new skills,Medium,Research Scientist,Python Basics,National Merit Scholarship
86,Student_00086,18,Male,Arts,Communication,SQL;Drawing,93,67,45,100,98,54,92,78.0,Kinesthetic,78.43,Introvert,Develop new skills,Low,Mechanical Engineer,Business Management,Arts Talent Scholarship
87,Student_00087,17,Female,Maths,Communication,Python,60,99,46,93,85,81,61,91.7,Auditory,75.0,Introvert,Start a business,Medium,Doctor,Machine Learning Basics,Need-based Aid
88,Student_00088,21,Other,Science,Problem Solving,Marketing,53,93,49,75,100,86,78,81.1,Visual,76.29,Extrovert,Higher studies,Medium,Data Analyst,Python Basics,STEM Scholarship
89,Student_00089,20,Other,Design,Problem Solving,Public Speaking,78,74,41,80,72,76,55,88.7,Kinesthetic,68.0,Extrovert,Get a good job,High,Entrepreneur,Data Science Intro,Need-based Aid
90,Student_00090,16,Other,Maths,Leadership,Statistics;SQL,74,72,90,72,75,41,64,94.9,Visual,69.71,Ambivert,Develop new skills,Medium,Teacher,Math Foundations,National Merit Scholarship
91,Student_00091,19,Male,Business,Creativity,Machine Learning;UI Design;Statistics,89,77,87,88,61,48,42,74.1,Kinesthetic,70.29,Ambivert,Higher studies,High,Civil Engineer,Math Foundations,Need-based Aid
92,Student_00092,16,Male,Maths,Logical Thinking,Python;Marketing,52,42,90,52,96,42,60,97.3,Reading/Writing,62.0,Ambivert,Develop new skills,Medium,Software Engineer,Machine Learning Basics,STEM Scholarship
93,Student_00093,18,Female,Science,Logical Thinking,Marketing;Statistics,91,63,67,96,65,87,68,95.8,Reading/Writing,76.71,Extrovert,Higher studies,Medium,Civil Engineer,Graphic Design,Arts Talent Scholarship
94,Student_00094,15,Other,Medicine,Problem Solving,Excel;Drawing,74,58,60,46,45,60,82,71.8,Reading/Writing,60.71,Ambivert,Develop new skills,Low,Civil Engineer,Graphic Design,Need-based Aid
95,Student_00095,14,Other,Business,Leadership,Marketing;Machine Learning,90,100,43,44,82,80,65,74.5,Auditory,72.0,Introvert,Higher studies,High,Civil Engineer,Python Basics,STEM Scholarship
96,Student_00096,15,Male,Business,Communication,Excel;Python,78,49,83,68,100,63,63,77.8,Visual,72.0,Ambivert,Higher studies,High,Entrepreneur,Biology 101,Arts Talent Scholarship
97,Student_00097,18,Male,Maths,Problem Solving,Drawing;Public Speaking;SQL,64,98,75,47,56,89,56,88.2,Auditory,69.29,Ambivert,Start a business,High,Civil Engineer,Data Science Intro,National Merit Scholarship
98,Student_00098,16,Male,Design,Creativity,Public Speaking;Statistics;Physics,82,62,85,44,75,74,58,95.7,Auditory,68.57,Ambivert,Higher studies,Medium,Research Scientist,Data Science Intro,National Merit Scholarship
99,Student_00099,17,Male,Sports,Analysis,Physics,75,76,63,69,91,75,48,84.5,Visual,71.0,Introvert,Start a business,Medium,Civil Engineer,Business Management,Need-based Aid
100,Student_00100,20,Other,Maths,Creativity,Machine Learning;Statistics,68,69,83,73,62,48,96,93.2,Auditory,71.29,Introvert,Develop new skills,High,Software Engineer,Machine Learning Basics,National Merit Scholarship
101,Student_00101,22,Male,Technology,Creativity,Physics,99,85,54,62,100,100,73,95.8,Visual,81.86,Extrovert,Higher studies,High,Research Scientist,Graphic Design,STEM Scholarship
102,Student_00102,18,Other,Maths,Leadership,Drawing;Excel;Machine Learning,49,50,82,79,86,97,78,73.5,Visual,74.43,Introvert,Get a good job,Low,Teacher,Math Foundations,STEM Scholarship
103,Student_00103,20,Other,Science,Analysis,SQL;Marketing;Machine Learning,70,55,91,91,83,65,59,78.1,Visual,73.43,Introvert,Develop new skills,Medium,Civil Engineer,Biology 101,STEM Scholarship
104,Student_00104,19,Other,Arts,Communication,Physics;UI Design;Java,48,88,63,72,75,46,60,69.7,Visual,64.57,Extrovert,Develop new skills,Low,Doctor,Python Basics,National Merit Scholarship
105,Student_00105,18,Female,Medicine,Creativity,Physics,99,76,86,60,52,88,50,79.9,Reading/Writing,73.0,Extrovert,Start a business,Medium,Software Engineer,Python Basics,Need-based Aid
106,Student_00106,22,Female,Sports,Creativity,Physics;Python;Machine Learning,58,71,78,96,93,81,83,78.8,Visual,80.0,Introvert,Develop new skills,Low,Teacher,Math Foundations,Arts Talent Scholarship
107,Student_00107,20,Female,Science,Analysis,Excel,75,52,63,75,58,44,64,80.2,Kinesthetic,61.57,Ambivert,Get a good job,Low,Data Analyst,Biology 101,Arts Talent Scholarship
108,Student_00108,19,Other,Business,Creativity,Excel,72,65,72,42,42,42,48,88.5,Reading/Writing,54.71,Ambivert,Develop new skills,Low,Research Scientist,Data Science Intro,Arts Talent Scholarship
109,Student_00109,19,Male,Medicine,Leadership,Marketing;Excel;Physics,72,93,72,74,71,85,76,72.0,Visual,77.57,Extrovert,Start a business,High,Data Analyst,Biology 101,Arts Talent Scholarship
110,Student_00110,14,Other,Design,Communication,Excel;UI Design;Biology,86,43,77,70,50,73,80,88.8,Reading/Writing,68.43,Introvert,Higher studies,Low,Data Analyst,Data Science Intro,National Merit Scholarship
111,Student_00111,21,Female,Medicine,Creativity,UI Design;Biology,66,72,89,79,98,70,95,93.9,Visual,81.29,Ambivert,Higher studies,High,Designer,Business Management,Arts Talent Scholarship
112,Student_00112,21,Other,Medicine,Communication,Public Speaking,98,74,61,74,62,83,89,94.7,Kinesthetic,77.29,Ambivert,Develop new skills,Low,Designer,Graphic Design,Arts Talent Scholarship
113,Student_00113,17,Female,Technology,Logical Thinking,UI Design,85,71,60,70,62,75,99,97.4,Kinesthetic,74.57,Extrovert,Get a good job,High,Research Scientist,Biology 101,Need-based Aid
114,Student_00114,19,Male,Technology,Problem Solving,UI Design;Statistics,62,99,68,81,56,87,70,68.6,Kinesthetic,74.71,Ambivert,Start a business,Low,Data Analyst,Business Management,STEM Scholarship
115,Student_00115,17,Male,Sports,Logical Thinking,Python,46,66,61,85,70,46,83,90.8,Visual,65.29,Ambivert,Higher studies,Medium,Civil Engineer,Biology 101,STEM Scholarship
116,Student_00116,18,Female,Technology,Logical Thinking,Statistics,81,76,54,74,87,86,94,97.5,Auditory,78.86,Extrovert,Higher studies,Low,Mechanical Engineer,Machine Learning Basics,Need-based Aid
117,Student_00117,16,Other,Technology,Problem Solving,Marketing,76,78,46,99,61,58,69,99.6,Reading/Writing,69.57,Introvert,Develop new skills,Medium,Designer,Machine Learning Basics,National Merit Scholarship
118,Student_00118,19,Male,Design,Logical Thinking,UI Design;Drawing,40,87,61,90,58,76,83,90.3,Auditory,70.71,Ambivert,Develop new skills,Medium,Research Scientist,Graphic Design,National Merit Scholarship
119,Student_00119,20,Other,Maths,Creativity,Public Speaking,60,99,55,40,56,64,55,77.9,Kinesthetic,61.29,Extrovert,Start a business,High,Software Engineer,Graphic Design,Arts Talent Scholarship
120,Student_00120,17,Male,Maths,Analysis,Drawing;Java,83,72,99,97,96,85,89,72.4,Visual,88.71,Ambivert,Start a business,Medium,Designer,Data Science Intro,STEM Scholarship
121,Student_00121,21,Male,Design,Logical Thinking,Physics;Java;SQL,98,70,88,74,91,82,92,68.7,Auditory,85.0,Ambivert,Get a good job,High,Civil Engineer,Business Management,Arts Talent Scholarship
122,Student_00122,15,Other,Maths,Problem Solving,SQL;Biology;Excel,74,49,50,60,94,73,68,64.6,Auditory,66.86,Ambivert,Develop new skills,Low,Research Scientist,Biology 101,National Merit Scholarship
123,Student_00123,21,Male,Medicine,Analysis,Python;SQL;Public Speaking,83,91,59,86,41,65,56,92.7,Auditory,68.71,Ambivert,Get a good job,Low,Mechanical Engineer,Graphic Design,National Merit Scholarship
124,Student_00124,22,Male,Maths,Analysis,Marketing,66,51,89,48,89,81,86,85.8,Reading/Writing,72.86,Extrovert,Develop new skills,Medium,Mechanical Engineer,Biology 101,National Merit Scholarship
125,Student_00125,22,Male,Business,Problem Solving,SQL,65,73,48,86,54,93,40,90.2,Kinesthetic,65.57,Extrovert,Develop new skills,High,Mechanical Engineer,Machine Learning Basics,STEM Scholarship
126,Student_00126,17,Female,Business,Creativity,Biology;Statistics,42,91,82,66,79,89,99,95.4,Visual,78.29,Introvert,Higher studies,Low,Data Analyst,Business Management,National Merit Scholarship
127,Student_00127,21,Other,Science,Creativity,Python;Java;Public Speaking,54,74,53,88,95,89,43,65.6,Kinesthetic,70.86,Introvert,Start a business,High,Entrepreneur,Data Science Intro,Arts Talent Scholarship
128,Student_00128,16,Other,Sports,Analysis,Marketing;Python,75,100,77,96,87,98,51,85.0,Reading/Writing,83.43,Ambivert,Develop new skills,Low,Entrepreneur,Math Foundations,Need-based Aid
129,Student_00129,22,Female,Medicine,Analysis,Marketing,64,51,88,74,70,55,94,69.0,Auditory,70.86,Extrovert,Get a good job,High,Mechanical Engineer,Biology 101,STEM Scholarship
130,Student_00130,20,Male,Technology,Creativity,Machine Learning;Statistics,99,68,94,63,45,74,86,93.2,Visual,75.57,Extrovert,Develop new skills,High,Software Engineer,Machine Learning Basics,National Merit Scholarship
131,Student_00131,17,Other,Sports,Analysis,Physics,59,98,40,53,99,52,87,64.7,Reading/Writing,69.71,Introvert,Higher studies,Medium,Designer,Business Management,Arts Talent Scholarship
132,Student_00132,18,Female,Design,Leadership,Physics;Marketing;Machine Learning,63,72,96,71,69,46,91,99.3,Reading/Writing,72.57,Extrovert,Higher studies,Medium,Entrepreneur,Biology 101,National Merit Scholarship
133,Student_00133,17,Other,Arts,Problem Solving,SQL;Excel,77,86,66,58,49,52,61,69.2,Auditory,64.14,Extrovert,Start a business,Medium,Civil Engineer,Math Foundations,Need-based Aid
134,Student_00134,21,Male,Business,Creativity,UI Design,74,71,51,98,96,74,81,98.3,Visual,77.86,Introvert,Get a good job,Low,Mechanical Engineer,Data Science Intro,STEM Scholarship
135,Student_00135,15,Other,Arts,Problem Solving,SQL,69,63,43,79,80,82,99,84.7,Reading/Writing,73.57,Ambivert,Develop new skills,Low,Software Engineer,Business Management,Need-based Aid
136,Student_00136,14,Male,Technology,Leadership,Python;SQL,92,84,83,67,91,100,98,67.2,Visual,87.86,Ambivert,Higher studies,Low,Designer,Business Management,Arts Talent Scholarship
137,Student_00137,19,Female,Medicine,Problem Solving,Java;Public Speaking,76,55,84,54,59,83,92,93.9,Visual,71.86,Introvert,Develop new skills,Medium,Mechanical Engineer,Business Management,Need-based Aid
138,Student_00138,14,Other,Science,Logical Thinking,Statistics,71,94,67,81,90,61,76,99.1,Visual,77.14,Ambivert,Get a good job,Low,Designer,Machine Learning Basics,Need-based Aid
139,Student_00139,18,Male,Maths,Logical Thinking,SQL;Excel,82,42,51,99,94,60,41,98.5,Auditory,67.0,Ambivert,Develop new skills,Low,Teacher,Data Science Intro,STEM Scholarship
